Item.Code,Item
1062,"Eggs, hen, in shell"
1067,"Eggs, hen, in shell (number)"
1091,"Eggs, other bird, in shell"
1092,"Eggs, other bird, in shell (number)"
1100,"Hair, horse"
957,"Hides, buffalo, fresh"
919,"Hides, cattle, fresh"
1182,"Honey, natural"
1122,"Meat indigenous, ass"
1084,"Meat indigenous, bird nes"
972,"Meat indigenous, buffalo"
1137,"Meat indigenous, camel"
944,"Meat indigenous, cattle"
1094,"Meat indigenous, chicken"
1070,"Meat indigenous, duck"
1077,"Meat indigenous, geese"
1032,"Meat indigenous, goat"
1120,"Meat indigenous, horse"
1124,"Meat indigenous, mule"
1161,"Meat indigenous, other camelids"
1055,"Meat indigenous, pig"
1144,"Meat indigenous, rabbit"
1154,"Meat indigenous, rodents"
1012,"Meat indigenous, sheep"
1087,"Meat indigenous, turkey"
1108,"Meat, ass"
1089,"Meat, bird nes"
947,"Meat, buffalo"
1127,"Meat, camel"
867,"Meat, cattle"
1058,"Meat, chicken"
1069,"Meat, duck"
1163,"Meat, game"
1017,"Meat, goat"
1073,"Meat, goose and guinea fowl"
1097,"Meat, horse"
1111,"Meat, mule"
1166,"Meat, nes"
1158,"Meat, other camelids"
1151,"Meat, other rodents"
1035,"Meat, pig"
1141,"Meat, rabbit"
977,"Meat, sheep"
1080,"Meat, turkey"
951,"Milk, whole fresh buffalo"
1130,"Milk, whole fresh camel"
882,"Milk, whole fresh cow"
1020,"Milk, whole fresh goat"
982,"Milk, whole fresh sheep"
